"Label (Grouping)","Alameda County, California!!Owner-occupied housing units with a mortgage!!Estimate","Alpine County, California!!Owner-occupied housing units with a mortgage!!Estimate","Amador County, California!!Owner-occupied housing units with a mortgage!!Estimate","Butte County, California!!Owner-occupied housing units with a mortgage!!Estimate","Calaveras County, California!!Owner-occupied housing units with a mortgage!!Estimate","Colusa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Contra Costa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Del Norte County, California!!Owner-occupied housing units with a mortgage!!Estimate","El Dorado County, California!!Owner-occupied housing units with a mortgage!!Estimate","Fresno County, California!!Owner-occupied housing units with a mortgage!!Estimate","Glenn County, California!!Owner-occupied housing units with a mortgage!!Estimate","Humboldt County, California!!Owner-occupied housing units with a mortgage!!Estimate","Imperial County, California!!Owner-occupied housing units with a mortgage!!Estimate","Inyo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Kern County, California!!Owner-occupied housing units with a mortgage!!Estimate","Kings County, California!!Owner-occupied housing units with a mortgage!!Estimate","Lake County, California!!Owner-occupied housing units with a mortgage!!Estimate","Lassen County, California!!Owner-occupied housing units with a mortgage!!Estimate","Los Angeles County, California!!Owner-occupied housing units with a mortgage!!Estimate","Madera County, California!!Owner-occupied housing units with a mortgage!!Estimate","Marin County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mariposa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mendocino County, California!!Owner-occupied housing units with a mortgage!!Estimate","Merced County, California!!Owner-occupied housing units with a mortgage!!Estimate","Modoc County, California!!Owner-occupied housing units with a mortgage!!Estimate","Mono County, California!!Owner-occupied housing units with a mortgage!!Estimate","Monterey County, California!!Owner-occupied housing units with a mortgage!!Estimate","Napa County, California!!Owner-occupied housing units with a mortgage!!Estimate","Nevada County, California!!Owner-occupied housing units with a mortgage!!Estimate","Orange County, California!!Owner-occupied housing units with a mortgage!!Estimate","Placer County, California!!Owner-occupied housing units with a mortgage!!Estimate","Plumas County, California!!Owner-occupied housing units with a mortgage!!Estimate","Riverside County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sacramento County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Benito County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Bernardino County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Diego County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Francisco County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Joaquin County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Luis Obispo County, California!!Owner-occupied housing units with a mortgage!!Estimate","San Mateo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Barbara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, California!!Owner-occupied housing units with a mortgage!!Estimate","Shasta County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sierra County, California!!Owner-occupied housing units with a mortgage!!Estimate","Siskiyou County, California!!Owner-occupied housing units with a mortgage!!Estimate","Solano County, California!!Owner-occupied housing units with a mortgage!!Estimate","Sonoma County, California!!Owner-occupied housing units with a mortgage!!Estimate","Stanislaus County, California!!Owner-occupied housing units with a mortgage!!Estimate","Stanislaus County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Sutter County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tehama County, California!!Owner-occupied housing units with a mortgage!!Estimate","Trinity County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tulare County, California!!Owner-occupied housing units with a mortgage!!Estimate","Tuolumne County, California!!Owner-occupied housing units with a mortgage!!Estimate","Ventura County, California!!Owner-occupied housing units with a mortgage!!Estimate","Yolo County, California!!Owner-occupied housing units with a mortgage!!Estimate","Yuba County, California!!Owner-occupied housing units with a mortgage!!Estimate"
"            Less than 20 percent","144","0","42","103","0","17","318","128","2","803","9","215","26","5","481","108","128","14","1,081","148","0","0","8","133","9","0","43","20","82","420","92","0","1,026","549","11","1,094","457","59","239","41","67","130","39","68","71","3","54","251","85","137","0.2%","49","144","3","351","59","154","16","28"
"            20 to 29 percent","414","0","50","601","31","57","420","22","213","2,052","206","214","502","73","2,541","527","280","88","3,763","249","56","36","79","775","37","120","365","75","219","861","264","182","3,099","2,063","39","3,779","1,542","195","1,076","202","166","286","330","119","487","0","217","338","223","1,110","1.6%","278","379","46","1,423","129","487","115","251"
"            30 percent or more","7,645","8","637","1,885","669","224","8,282","116","2,151","7,830","427","1,657","1,464","211","8,521","917","668","237","63,498","1,672","1,554","199","823","2,524","33","73","2,279","823","1,333","17,741","3,534","210","23,575","13,394","548","19,444","20,796","2,909","5,736","2,890","3,187","2,430","6,746","1,608","2,322","7","552","3,950","3,866","6,195","9.0%","666","795","207","4,686","604","5,555","971","927"
"        $50,000 to $74,999","17,642","19","1,473","4,415","1,646","566","18,167","756","4,946","20,322","589","3,222","2,881","309","20,554","2,623","1,814","916","138,230","3,822","3,486","543","2,281","5,330","299","609","6,057","2,001","2,814","40,317","8,209","423","55,905","34,063","1,180","47,075","50,639","6,405","14,433","5,901","6,954","6,526","15,938","3,279","5,275","80","1,214","8,607","8,702","11,899","17.2%","2,217","1,797","319","10,661","1,799","13,681","3,160","1,817"
"            Less than 20 percent","916","0","160","565","104","158","1,136","114","346","3,201","104","400","646","76","3,509","575","238","233","7,752","817","99","100","307","1,051","142","12","455","175","142","2,349","443","60","4,985","3,113","41","4,920","3,027","153","1,469","298","366","433","870","184","723","13","292","491","419","1,339","1.9%","169","288","103","2,283","130","729","242","231"
"            20 to 29 percent","2,551","3","471","1,694","239","206","3,032","445","1,191","8,887","269","960","1,118","122","7,672","1,148","772","395","22,991","1,317","290","202","580","2,408","65","188","1,301","282","484","5,717","1,839","142","14,730","10,585","111","14,554","8,403","548","4,368","1,032","542","1,538","1,774","511","1,708","25","453","2,499","1,732","4,067","5.9%","800","738","101","4,292","593","1,988","988","648"
"            30 percent or more","14,175","16","842","2,156","1,303","202","13,999","197","3,409","8,234","216","1,862","1,117","111","9,373","900","804","288","107,487","1,688","3,097","241","1,394","1,871","92","409","4,301","1,544","2,188","32,251","5,927","221","36,190","20,365","1,028","27,601","39,209","5,704","8,596","4,571","6,046","4,555","13,294","2,584","2,844","42","469","5,617","6,551","6,493","9.4%","1,248","771","115","4,086","1,076","10,964","1,930","938"
"        $75,000 or more","184,314","137","4,124","18,570","4,687","1,472","153,920","1,727","26,519","69,928","1,626","9,627","8,515","1,279","61,170","9,732","4,665","1,930","768,791","10,781","38,842","1,435","5,362","14,787","508","1,526","31,989","15,396","11,957","327,206","58,054","2,095","220,620","151,092","6,985","171,074","326,405","74,643","63,412","30,435","93,005","37,309","214,281","31,508","15,942","260","2,879","51,149","58,764","41,867","60.6%","7,973","4,861","814","27,373","6,161","93,833","20,215","6,375"
"            Less than 20 percent","82,270","70","2,317","10,780","2,260","926","68,079","1,169","12,435","42,917","909","5,263","5,188","792","38,708","6,190","2,825","1,291","318,156","6,608","15,759","662","2,715","9,535","398","530","14,702","6,809","5,711","139,339","27,460","1,301","105,476","81,348","2,395","89,727","134,539","33,981","33,394","12,861","39,902","16,154","94,304","12,632","10,118","156","1,887","24,885","23,941","25,353","36.7%","4,828","2,984","533","17,928","3,024","38,997","10,431","3,539"
"            20 to 29 percent","61,484","39","1,443","5,778","1,546","428","51,673","390","9,108","20,794","597","3,185","2,730","370","17,029","2,793","1,364","512","252,979","3,007","11,940","560","1,732","3,977","67","418","10,246","5,285","3,827","105,362","20,208","597","78,394","50,803","2,639","55,718","116,445","20,806","21,435","10,748","28,334","12,677","66,155","10,641","4,243","89","817","17,555","20,628","11,934","17.3%","2,317","1,553","105","6,971","1,894","32,205","6,593","2,117"
"            30 percent or more","40,560","28","364","2,012","881","118","34,168","168","4,976","6,217","120","1,179","597","117","5,433","749","476","127","197,656","1,166","11,143","213","915","1,275","43","578","7,041","3,302","2,419","82,505","10,386","197","36,750","18,941","1,951","25,629","75,421","19,856","8,583","6,826","24,769","8,478","53,822","8,235","1,581","15","175","8,709","14,195","4,580","6.6%","828","324","176","2,474","1,243","22,631","3,191","719"
"        Zero or negative income","763","0","46","199","42","19","778","0","275","531","13","206","158","34","554","50","94","4","6,975","50","165","0","3","123","0","0","112","37","36","1,950","542","0","3,323","949","36","1,245","2,292","568","392","276","463","139","877","135","86","3","40","265","348","206","0.3%","38","60","0","308","84","415","65","139"
"    REAL ESTATE TAXES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $800","2,659","3","511","1,796","434","310","2,151","246","533","7,441","227","1,018","1,155","163","6,506","1,451","998","299","22,088","1,296","273","186","917","2,092","204","5","1,559","610","430","7,663","1,326","247","11,362","8,007","186","12,508","11,300","1,124","4,260","1,361","965","1,540","3,219","1,075","1,886","5","657","2,639","2,121","3,003","4.3%","465","1,086","145","5,321","526","3,355","667","712"
"        $800 to $1,499","5,991","4","1,212","6,211","1,098","523","5,901","1,025","3,031","23,421","700","2,539","3,237","317","18,491","4,459","2,240","978","56,633","4,154","470","322","799","5,941","292","464","2,674","814","1,104","18,758","2,917","681","27,886","23,172","429","34,586","24,382","2,546","10,166","2,085","2,715","3,693","5,711","1,706","6,130","86","1,811","4,069","3,534","10,836","15.7%","1,760","3,198","432","16,593","1,628","5,804","1,418","2,017"
"        $1,500 or more","212,713","163","5,512","21,357","6,524","1,879","184,560","1,931","33,469","82,978","2,334","13,647","11,828","1,613","82,471","9,886","6,009","2,168","989,049","13,797","45,626","2,166","8,213","18,431","618","1,891","39,428","18,356","16,813","385,564","71,395","2,315","302,770","188,475","8,572","221,777","391,409","85,092","79,352","38,707","104,949","44,117","238,677","35,939","19,819","347","3,619","61,017","70,609","54,402","78.7%","9,982","5,086","1,166","31,359","7,807","112,326","23,653","8,214"
"        No real estate taxes paid","1,817","0","60","425","81","18","2,250","77","472","1,713","56","321","281","135","1,992","337","221","116","13,800","302","241","81","184","569","4","59","535","327","348","4,665","775","24","5,752","4,029","33","4,617","7,416","1,049","1,190","919","1,007","1,014","2,337","493","433","21","91","1,136","1,197","844","1.2%","176","409","74","1,114","218","1,239","439","85"
"        Median (dollars)","7,011","3,362","2,488","2,522","2,746","1,885","6,252","1,927","3,927","2,379","2,132","2,605","1,981","2,530","2,525","1,920","1,926","1,777","4,835","2,147","9,634","2,351","3,075","2,143","1,688","3,222","4,308","5,385","3,730","5,550","4,831","2,073","3,836","3,289","5,159","3,021","4,857","9,134","3,349","4,618","8,190","4,419","8,748","5,937","2,187","2,075","1,766","3,846","4,973","2,647","2,647","2,815","1,602","1,966","1,819","2,572","4,966","4,333","2,636"
