COUNTY,STNAME,County,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020
53,Michigan,Gogebic County,15331,15337,15095,13971,13842
55,Michigan,Grand Traverse County,92076,91914,92587,93032,93592
57,Michigan,Gratiot County,40937,40978,40582,40681,40283
59,Michigan,Hillsdale County,45789,45831,45709,45548,45658
61,Michigan,Houghton County,36354,36270,35993,35709,35126
63,Michigan,Huron County,31471,31304,31193,30904,30653
65,Michigan,Ingham County,289633,291678,291267,291426,290609
67,Michigan,Ionia County,64215,64293,64290,64654,64553
69,Michigan,Iosco County,25307,25180,25195,25244,25140
71,Michigan,Iron County,11168,11112,11094,11053,11066
73,Michigan,Isabella County,71247,71035,70392,69635,69504
75,Michigan,Jackson County,158345,158653,158594,158357,156920
77,Michigan,Kalamazoo County,261584,263387,265120,265531,265988
79,Michigan,Kalkaska County,17283,17582,17774,17984,18003
81,Michigan,Kent County,644219,649722,653636,656800,658708
83,Michigan,Keweenaw County,2143,2087,2076,2085,2119
85,Michigan,Lake County,11861,11977,11850,11752,11587
87,Michigan,Lapeer County,88227,88218,87987,87808,87635
89,Michigan,Leelanau County,21508,21638,21662,21692,21743
91,Michigan,Lenawee County,98595,98511,98118,98519,97808
93,Michigan,Livingston County,188585,189923,191259,192058,192335
95,Michigan,Luce County,6332,6372,6336,6266,6126
97,Michigan,Mackinac County,10713,10758,10790,10807,10839
99,Michigan,Macomb County,868329,870867,872089,872389,870791
101,Michigan,Manistee County,24452,24406,24479,24619,24738
103,Michigan,Marquette County,66563,66524,66406,66689,65834
105,Michigan,Mason County,28846,29025,29121,29154,29164
107,Michigan,Mecosta County,43174,43271,43471,43583,43907
109,Michigan,Menominee County,23217,23003,22908,22772,22608
111,Michigan,Midland County,83485,83442,83447,83412,83441
113,Michigan,Missaukee County,15028,15020,15094,15079,15152
115,Michigan,Monroe County,149278,149523,150218,150412,150568
117,Michigan,Montcalm County,62988,63553,63854,63708,63476
119,Michigan,Montmorency County,9210,9237,9260,9304,9337
121,Michigan,Muskegon County,173342,173804,173719,173645,173883
123,Michigan,Newaygo County,47812,48332,48914,49027,49348
125,Michigan,Oakland County,1251563,1256478,1257472,1257726,1253459
127,Michigan,Oceana County,26327,26438,26577,26562,26819
129,Michigan,Ogemaw County,20857,20887,20876,20933,20923
131,Michigan,Ontonagon County,5935,5888,5816,5713,5656
133,Michigan,Osceola County,23179,23267,23310,23394,23466
135,Michigan,Oscoda County,8238,8236,8249,8318,8368
137,Michigan,Otsego County,24420,24540,24675,24664,24765
139,Michigan,Ottawa County,283686,286452,289578,291460,294635
141,Michigan,Presque Isle County,12718,12740,12712,12602,12665
143,Michigan,Roscommon County,23782,23738,23822,23986,23986
145,Michigan,Saginaw County,192636,192002,190841,190484,189868
147,Michigan,St. Clair County,159477,159130,159186,159339,159293
149,Michigan,St. Joseph County,60761,60703,60808,60826,60848
151,Michigan,Sanilac County,41438,41257,41233,41220,40747
153,Michigan,Schoolcraft County,7952,8010,8007,8081,8104
155,Michigan,Shiawassee County,68589,68422,68064,68065,67738
157,Michigan,Tuscola County,53260,52817,52692,52355,52289
159,Michigan,Van Buren County,75283,75296,75434,75594,75474
161,Michigan,Washtenaw County,366960,369703,370548,368242,366473
163,Michigan,Wayne County,1760835,1757874,1755868,1750093,1740623
165,Michigan,Wexford County,33086,33229,33452,33654,33743
0,Minnesota,Minnesota,5525360,5569283,5608762,5640053,5657342
1,Minnesota,Aitkin County,15755,15798,15886,15841,15848
3,Minnesota,Anoka County,346813,350598,354004,357538,359921
5,Minnesota,Becker County,33728,34089,34403,34461,34456
7,Minnesota,Beltrami County,46054,46497,46723,47205,47442
9,Minnesota,Benton County,39698,40219,40569,40938,40958
11,Minnesota,Big Stone County,5003,5003,4973,4967,4923
13,Minnesota,Blue Earth County,66398,66931,67397,67874,68241
15,Minnesota,Brown County,25278,25173,25118,24965,24846
17,Minnesota,Carlton County,35550,35498,35816,35913,35769
19,Minnesota,Carver County,100389,102120,103605,105128,106565
21,Minnesota,Cass County,29030,29324,29405,29622,29928
23,Minnesota,Chippewa County,12035,11948,11879,11756,11758
25,Minnesota,Chisago County,54640,55261,55980,56543,56794
27,Minnesota,Clay County,63090,63844,64079,64441,64690
29,Minnesota,Clearwater County,8838,8842,8815,8843,9017
31,Minnesota,Cook County,5346,5413,5413,5416,5417
33,Minnesota,Cottonwood County,11382,11263,11274,11232,11242
35,Minnesota,Crow Wing County,63757,64324,64957,65191,65644
37,Minnesota,Dakota County,417783,421840,425472,429453,431807
39,Minnesota,Dodge County,20558,20708,20804,20976,20987
41,Minnesota,Douglas County,37162,37547,37987,38070,38328
43,Minnesota,Faribault County,13864,13767,13732,13671,13601
45,Minnesota,Fillmore County,20912,20976,21053,21081,21135
47,Minnesota,Freeborn County,30441,30584,30552,30385,30364
49,Minnesota,Goodhue County,46245,46341,46348,46391,46318
51,Minnesota,Grant County,5921,5916,5971,5977,6026
53,Minnesota,Hennepin County,1236183,1248707,1258021,1265159,1268408
55,Minnesota,Houston County,18740,18705,18608,18667,18632
57,Minnesota,Hubbard County,20709,20989,21350,21604,21783
59,Minnesota,Isanti County,38763,39537,39846,40447,41429
61,Minnesota,Itasca County,45171,45096,45139,45225,45268
63,Minnesota,Jackson County,9962,9968,9866,9799,9768
65,Minnesota,Kanabec County,15896,16069,16288,16357,16416
67,Minnesota,Kandiyohi County,42672,42747,42850,43137,43130
69,Minnesota,Kittson County,4323,4261,4276,4286,4214
71,Minnesota,Koochiching County,12607,12505,12404,12202,12059
73,Minnesota,Lac qui Parle County,6743,6682,6644,6628,6527
75,Minnesota,Lake County,10501,10481,10609,10625,10639
77,Minnesota,Lake of the Woods County,3791,3730,3722,3736,3754
79,Minnesota,Le Sueur County,27752,28193,28583,28856,28741
81,Minnesota,Lincoln County,5702,5662,5654,5619,5568
83,Minnesota,Lyon County,25996,25974,25656,25579,25271
85,Minnesota,McLeod County,35746,35860,35798,35826,35710
87,Minnesota,Mahnomen County,5472,5563,5492,5540,5473
89,Minnesota,Marshall County,9369,9359,9373,9345,9321
91,Minnesota,Martin County,19920,19867,19772,19641,19484
93,Minnesota,Meeker County,23081,23037,23122,23166,23341
95,Minnesota,Mille Lacs County,25595,25845,26062,26166,26146
97,Minnesota,Morrison County,32907,33075,33098,33329,33187
99,Minnesota,Mower County,39555,39789,40122,40040,40150
101,Minnesota,Murray County,8308,8329,8247,8197,8155
103,Minnesota,Nicollet County,33766,34081,34234,34311,34482
105,Minnesota,Nobles County,21895,21659,21737,21645,21400
107,Minnesota,Norman County,6539,6590,6477,6388,6338
109,Minnesota,Olmsted County,153446,154883,156413,158188,159298
111,Minnesota,Otter Tail County,57840,58213,58602,58684,58741
113,Minnesota,Pennington County,14242,14192,14175,14069,13874
115,Minnesota,Pine County,28873,29159,29449,29430,29359
117,Minnesota,Pipestone County,9249,9168,9127,9152,9121
119,Minnesota,Polk County,31692,31636,31364,31330,30900
121,Minnesota,Pope County,10971,10985,11088,11216,11277
123,Minnesota,Ramsey County,541635,544919,548900,549632,547903
125,Minnesota,Red Lake County,3983,4002,3961,4032,4046
127,Minnesota,Redwood County,15222,15250,15254,15158,15079
129,Minnesota,Renville County,14598,14681,14629,14551,14403
131,Minnesota,Rice County,65862,66199,66583,67016,67084
133,Minnesota,Rock County,9405,9481,9411,9334,9301
135,Minnesota,Roseau County,15553,15302,15147,15176,15117
137,Minnesota,St. Louis County,200023,199872,199850,199212,198538
139,Minnesota,Scott County,143393,145581,147339,149004,150689
141,Minnesota,Sherburne County,93247,94527,96067,97424,98811
143,Minnesota,Sibley County,14832,14916,15024,14868,14715
145,Minnesota,Stearns County,157279,158512,160034,161076,162038
147,Minnesota,Steele County,36671,36814,36783,36687,36596
149,Minnesota,Stevens County,9804,9710,9751,9822,9765
151,Minnesota,Swift County,9462,9405,9319,9294,9176
153,Minnesota,Todd County,24408,24539,24613,24725,24732
155,Minnesota,Traverse County,3330,3308,3289,3260,3218
157,Minnesota,Wabasha County,21445,21595,21591,21548,21642
159,Minnesota,Wadena County,13552,13643,13739,13662,13807
161,Minnesota,Waseca County,18808,18722,18653,18558,18550
163,Minnesota,Washington County,252655,255717,258969,262541,265476
165,Minnesota,Watonwan County,11002,10911,10964,10846,10792
167,Minnesota,Wilkin County,6337,6342,6255,6223,6161
169,Minnesota,Winona County,50912,50787,50877,50659,50485
171,Minnesota,Wright County,132392,134280,136471,138542,140249
173,Minnesota,Yellow Medicine County,9903,9848,9806,9736,9580
0,Mississippi,Mississippi,2990595,2990674,2982879,2978227,2966786
1,Mississippi,Adams County,31604,31653,31248,30736,30275
3,Mississippi,Alcorn County,37266,37216,36877,37043,36889
5,Mississippi,Amite County,12442,12450,12322,12286,12205
7,Mississippi,Attala County,18556,18478,18330,18173,18004
9,Mississippi,Benton County,8246,8267,8234,8278,8351
11,Mississippi,Bolivar County,32533,31722,31154,30714,30142
13,Mississippi,Calhoun County,14552,14506,14420,14365,14241
15,Mississippi,Carroll County,10199,10100,9902,9928,9732
17,Mississippi,Chickasaw County,17208,17100,17013,17026,16951
19,Mississippi,Choctaw County,8297,8242,8237,8192,8063
21,Mississippi,Claiborne County,9173,9033,9096,8998,8911
23,Mississippi,Clarke County,15897,15798,15558,15506,15299
25,Mississippi,Clay County,19853,19633,19387,19349,19352
27,Mississippi,Coahoma County,23876,23236,22652,22095,21564
29,Mississippi,Copiah County,28666,28536,28459,28099,27933
31,Mississippi,Covington County,19171,19016,18781,18562,18518
33,Mississippi,DeSoto County,175950,179265,182406,185385,188275
35,Mississippi,Forrest County,75593,75190,74983,75035,75009
37,Mississippi,Franklin County,7723,7761,7746,7694,7657
39,Mississippi,George County,23651,23937,24040,24435,24425
41,Mississippi,Greene County,13547,13526,13975,13569,13477
43,Mississippi,Grenada County,21225,21051,21016,20732,20610
45,Mississippi,Hancock County,46708,47020,47295,47673,48000
47,Mississippi,Harrison County,202740,205096,206351,207859,208801
49,Mississippi,Hinds County,242263,240007,235867,231919,227966
51,Mississippi,Holmes County,18002,17846,17458,17036,16726
53,Mississippi,Humphreys County,8569,8327,8212,8056,7827
55,Mississippi,Issaquena County,1321,1339,1302,1324,1220
57,Mississippi,Itawamba County,23426,23508,23434,23351,23261
59,Mississippi,Jackson County,141680,142355,143137,143387,143802
61,Mississippi,Jasper County,16587,16570,16411,16368,16332
63,Mississippi,Jefferson County,7302,7231,7092,7022,6997
65,Mississippi,Jefferson Davis County,11455,11285,11189,11089,10890
67,Mississippi,Jones County,68517,68422,68320,68282,67993
69,Mississippi,Kemper County,10041,10089,9714,9780,9521
71,Mississippi,Lafayette County,53614,54318,53717,54239,54408
73,Mississippi,Lamar County,61461,61649,62744,63447,64165
75,Mississippi,Lauderdale County,77497,76416,75503,74619,73751
77,Mississippi,Lawrence County,12813,12633,12441,12607,12480
79,Mississippi,Leake County,22780,22822,22781,22830,22741
81,Mississippi,Lee County,84859,85124,85396,85674,85466
83,Mississippi,Leflore County,29797,29317,28651,28202,27854
85,Mississippi,Lincoln County,34385,34352,34202,34111,33936
87,Mississippi,Lowndes County,59552,59173,58826,58621,58309
89,Mississippi,Madison County,103921,104635,105651,106334,106871
91,Mississippi,Marion County,25120,25123,24736,24504,24441
93,Mississippi,Marshall County,35794,35622,35491,35302,35301
95,Mississippi,Monroe County,35906,35863,35614,35291,35123
97,Mississippi,Montgomery County,10230,10138,9986,9766,9661
99,Mississippi,Neshoba County,29474,29446,29188,29147,28996
101,Mississippi,Newton County,21504,21402,21315,20987,20866
103,Mississippi,Noxubee County,10891,10717,10561,10425,10236
105,Mississippi,Oktibbeha County,49612,49774,49248,49543,49789
107,Mississippi,Panola County,34238,34113,34092,34102,33848
109,Mississippi,Pearl River County,55110,55329,55492,55752,55876
111,Mississippi,Perry County,12077,12031,11937,11998,11862
113,Mississippi,Pike County,39637,39535,39371,39284,38997
115,Mississippi,Pontotoc County,31516,31776,31947,32280,32461
117,Mississippi,Prentiss County,25404,25224,25062,25074,25013
119,Mississippi,Quitman County,7361,7207,7053,6808,6760
121,Mississippi,Rankin County,152093,152902,154277,155342,155975
123,Mississippi,Scott County,28378,28452,28344,28203,28061
125,Mississippi,Sharkey County,4513,4419,4342,4312,4160
127,Mississippi,Simpson County,27001,26917,26739,26803,26629
129,Mississippi,Smith County,15943,16067,15967,15840,15779
131,Mississippi,Stone County,18189,18608,17966,18289,18360
133,Mississippi,Sunflower County,26519,26149,26254,25131,24740
135,Mississippi,Tallahatchie County,14383,14155,14028,13931,13707
137,Mississippi,Tate County,28310,28595,28345,28304,28539
139,Mississippi,Tippah County,22079,21963,22071,22021,21748
141,Mississippi,Tishomingo County,19455,19520,19360,19368,19275
143,Mississippi,Tunica County,10138,9989,9916,9602,9392
145,Mississippi,Union County,28298,28478,28536,28711,28866
147,Mississippi,Walthall County,14568,14515,14420,14316,14294
149,Mississippi,Warren County,47017,46717,46096,45477,44841
151,Mississippi,Washington County,47214,46238,45097,43973,42837
153,Mississippi,Wayne County,20476,20450,20289,20186,20317
155,Mississippi,Webster County,9768,9743,9748,9702,9676
157,Mississippi,Wilkinson County,9032,8855,8768,8628,8351
159,Mississippi,Winston County,18357,18232,18154,17993,17845
161,Mississippi,Yalobusha County,12469,12449,12376,12104,11982
163,Mississippi,Yazoo County,28003,28711,29163,29698,26982
0,Missouri,Missouri,6091384,6111382,6125986,6140475,6151548
1,Missouri,Adair County,25313,25522,25593,25511,25399
3,Missouri,Andrew County,17351,17473,17661,17699,17586
5,Missouri,Atchison County,5292,5242,5161,5109,5096
7,Missouri,Audrain County,25863,25609,25411,24962,24835
9,Missouri,Barry County,35204,35576,35687,35789,35818
11,Missouri,Barton County,11834,11798,11756,11681,11592
13,Missouri,Bates County,16342,16294,16320,16213,16242
15,Missouri,Benton County,18947,19097,19377,19477,19627
17,Missouri,Bollinger County,12204,12281,12167,12142,12111
19,Missouri,Boone County,176579,178297,179569,181084,182991
21,Missouri,Buchanan County,89072,88658,88047,87212,86530
23,Missouri,Butler County,42804,42651,42641,42574,42178
25,Missouri,Caldwell County,9043,9056,9073,9039,9051
27,Missouri,Callaway County,45082,45002,44987,44762,44887
29,Missouri,Camden County,44979,45554,45956,46211,46414
31,Missouri,Cape Girardeau County,78540,78338,78810,78971,79512
33,Missouri,Carroll County,8849,8789,8724,8698,8554
35,Missouri,Carter County,6210,6177,6068,5981,5991
37,Missouri,Cass County,102645,103502,104753,105731,106806
39,Missouri,Cedar County,13884,14086,14126,14301,14322
41,Missouri,Chariton County,7512,7462,7449,7463,7360
43,Missouri,Christian County,84271,85533,87248,88913,90655
45,Missouri,Clark County,6734,6719,6827,6804,6830
47,Missouri,Clay County,238837,242780,246798,250522,253463
49,Missouri,Clinton County,20535,20558,20435,20434,20553
51,Missouri,Cole County,76748,76702,76734,76774,76191
53,Missouri,Cooper County,17697,17642,17604,17563,17102
55,Missouri,Crawford County,24269,24109,23948,23856,23739
57,Missouri,Dade County,7598,7583,7560,7547,7568
59,Missouri,Dallas County,16418,16755,16828,16984,17219
61,Missouri,Daviess County,8227,8355,8330,8273,8283
63,Missouri,DeKalb County,12520,12561,12534,10802,10944
65,Missouri,Dent County,15457,15510,15592,15548,15481
67,Missouri,Douglas County,13368,13301,13416,13248,13344
69,Missouri,Dunklin County,30622,30147,29464,29173,28878
71,Missouri,Franklin County,102758,103340,103716,103860,104469
73,Missouri,Gasconade County,14751,14695,14680,14671,14566
75,Missouri,Gentry County,6623,6630,6579,6564,6484
77,Missouri,Greene County,288114,289830,291430,293499,294997
79,Missouri,Grundy County,10107,9990,9949,9780,9595
81,Missouri,Harrison County,8587,8519,8362,8346,8321
83,Missouri,Henry County,21634,21704,21885,21971,22076
85,Missouri,Hickory County,9367,9396,9416,9496,9586
87,Missouri,Holt County,4464,4406,4382,4387,4232
89,Missouri,Howard County,10033,10067,10027,9982,10001
91,Missouri,Howell County,40131,40069,40103,40084,40262
93,Missouri,Iron County,10127,10178,10193,10152,10098
95,Missouri,Jackson County,692812,698768,701809,704350,705925
97,Missouri,Jasper County,119304,120113,120349,121228,121648
99,Missouri,Jefferson County,223439,223843,224656,225402,226543
101,Missouri,Johnson County,53722,53893,53718,54187,54219
103,Missouri,Knox County,3929,3971,3943,3957,3940
105,Missouri,Laclede County,35486,35467,35684,35869,35895
107,Missouri,Lafayette County,32532,32604,32567,32774,33006
109,Missouri,Lawrence County,38201,38271,38271,38288,38175
111,Missouri,Lewis County,10091,9957,9844,9787,9810
113,Missouri,Lincoln County,55146,56040,57604,59040,60119
115,Missouri,Linn County,12123,12159,12002,11906,11830
117,Missouri,Livingston County,15119,15161,15169,14982,14413
119,Missouri,McDonald County,22773,22796,23031,22912,22900
121,Missouri,Macon County,15145,15253,15167,15111,15095
123,Missouri,Madison County,12209,12236,12205,12118,12113
125,Missouri,Maries County,8823,8791,8795,8751,8795
127,Missouri,Marion County,28721,28607,28564,28543,28423
129,Missouri,Mercer County,3654,3659,3625,3619,3558
131,Missouri,Miller County,24981,25199,25269,25607,25791
133,Missouri,Mississippi County,13755,13615,13369,13208,12691
135,Missouri,Moniteau County,15990,16028,16118,15816,15585
137,Missouri,Monroe County,8629,8594,8630,8627,8672
139,Missouri,Montgomery County,11459,11388,11458,11472,11294
141,Missouri,Morgan County,20106,20181,20466,20720,20716
143,Missouri,New Madrid County,17851,17541,17234,17052,16693
145,Missouri,Newton County,58221,58206,58233,58329,58451
147,Missouri,Nodaway County,22486,22431,22244,22089,21743
149,Missouri,Oregon County,10753,10568,10557,10517,10411
151,Missouri,Osage County,13612,13659,13640,13621,13535
153,Missouri,Ozark County,9204,9236,9011,9155,9083
155,Missouri,Pemiscot County,17092,16809,16281,15864,15600
157,Missouri,Perry County,19224,19267,19284,19164,19194
159,Missouri,Pettis County,42274,42477,42449,42417,42490
161,Missouri,Phelps County,44772,44606,44549,44593,44414
163,Missouri,Pike County,18508,18556,18495,17678,17552
165,Missouri,Platte County,98771,101256,102953,104726,106532
167,Missouri,Polk County,31415,31776,32244,32228,32490
169,Missouri,Pulaski County,52554,51918,51982,52634,52709
171,Missouri,Putnam County,4825,4782,4748,4688,4688
173,Missouri,Ralls County,10240,10228,10233,10292,10299
175,Missouri,Randolph County,24992,24909,24697,24839,24409
177,Missouri,Ray County,22740,22895,22924,23024,22915
179,Missouri,Reynolds County,6359,6260,6267,6288,6198
181,Missouri,Ripley County,13773,13576,13428,13343,13300
183,Missouri,St. Charles County,390724,395153,398656,401625,406204
185,Missouri,St. Clair County,9310,9395,9431,9450,9689
186,Missouri,Ste. Genevieve County,17867,17797,17890,17957,17924
187,Missouri,St. Francois County,66395,66702,66740,66942,66485
189,Missouri,St. Louis County,998393,997116,995900,995467,994020
195,Missouri,Saline County,23126,22940,22907,22827,22858
197,Missouri,Schuyler County,4496,4513,4577,4632,4534
199,Missouri,Scotland County,4915,4958,4937,4936,4871
201,Missouri,Scott County,38781,38611,38596,38416,38288
203,Missouri,Shannon County,8225,8238,8192,8177,8203
205,Missouri,Shelby County,6035,5992,6004,5923,5919
207,Missouri,Stoddard County,29504,29384,29288,29096,29001
209,Missouri,Stone County,31503,31676,31729,32002,32465
211,Missouri,Sullivan County,6328,6203,6189,6061,6033
213,Missouri,Taney County,54663,55176,55817,56057,56104
215,Missouri,Texas County,25844,25689,25560,25383,25112
217,Missouri,Vernon County,20689,20527,20544,20654,20388
219,Missouri,Warren County,33875,34462,34801,35716,36594
221,Missouri,Washington County,24847,25000,24900,24743,24604
223,Missouri,Wayne County,13229,13309,13079,12904,12769
225,Missouri,Webster County,38158,38767,39205,39644,39859
227,Missouri,Worth County,2009,2041,2011,1989,1953
229,Missouri,Wright County,18181,18216,18230,18329,18325
510,Missouri,St. Louis city,312926,308424,303661,300887,297645
0,Montana,Montana,1042137,1053862,1061818,1070123,1080577
1,Montana,Beaverhead County,9462,9436,9413,9474,9483
3,Montana,Big Horn County,13438,13454,13305,13248,13063
5,Montana,Blaine County,6716,6740,6764,6704,6568
7,Montana,Broadwater County,5787,5922,6043,6203,6444
9,Montana,Carbon County,10480,10687,10654,10703,10921
11,Montana,Carter County,1175,1222,1223,1245,1235
13,Montana,Cascade County,81655,81729,81756,81393,81346
15,Montana,Chouteau County,5780,5738,5759,5681,5699
17,Montana,Custer County,11844,11741,11576,11361,11292
19,Montana,Daniels County,1730,1720,1706,1646,1638
21,Montana,Dawson County,9279,8966,8683,8638,8555
23,Montana,Deer Lodge County,9071,9122,9159,9207,9204
25,Montana,Fallon County,3097,3012,2925,2878,2826
27,Montana,Fergus County,11333,11280,11088,11032,11104
29,Montana,Flathead County,97901,100272,102100,103880,105851
31,Montana,Gallatin County,104999,108850,111878,114472,116806
33,Montana,Garfield County,1295,1279,1262,1272,1268
35,Montana,Glacier County,13707,13729,13797,13701,13594
37,Montana,Golden Valley County,811,817,825,827,827
39,Montana,Granite County,3276,3343,3355,3335,3317
41,Montana,Hill County,16440,16468,16351,16494,16358
43,Montana,Jefferson County,11774,11918,12084,12211,12360
45,Montana,Judith Basin County,1944,1944,1950,2010,1994
47,Montana,Lake County,29722,30277,30346,30586,30986
49,Montana,Lewis and Clark County,67001,67988,68775,69578,70229
51,Montana,Liberty County,2413,2415,2440,2386,2369
53,Montana,Lincoln County,19332,19589,19862,20099,20343
55,Montana,McCone County,1729,1695,1655,1649,1648
57,Montana,Madison County,8074,8280,8586,8749,8959
59,Montana,Meagher County,1851,1856,1847,1841,1831
61,Montana,Mineral County,4129,4240,4314,4422,4544
63,Montana,Missoula County,116587,118068,118959,120066,121630
65,Montana,Musselshell County,4640,4623,4623,4626,4669
67,Montana,Park County,16138,16392,16662,16612,16760
69,Montana,Petroleum County,491,512,517,497,500
71,Montana,Phillips County,4121,4117,4047,3955,3919
73,Montana,Pondera County,6024,5954,5936,5858,5782
75,Montana,Powder River County,1747,1748,1729,1688,1681
77,Montana,Powell County,6837,6785,6920,6854,6817
79,Montana,Prairie County,1159,1097,1056,1064,1067
81,Montana,Ravalli County,41975,42617,43377,44149,45002
83,Montana,Richland County,11442,11101,10955,10943,11043
85,Montana,Roosevelt County,11223,11156,11084,11027,10964
87,Montana,Rosebud County,9263,9225,9047,8955,8836
89,Montana,Sanders County,11472,11702,11744,11946,12157
91,Montana,Sheridan County,3609,3461,3379,3318,3261
93,Montana,Silver Bow County,34768,34859,34768,34901,35180
95,Montana,Stillwater County,9349,9408,9496,9671,9888
97,Montana,Sweet Grass County,3610,3668,3701,3717,3684
99,Montana,Teton County,6017,6100,6121,6150,6249
101,Montana,Toole County,4962,4872,4830,4709,4686
103,Montana,Treasure County,678,668,667,697,695
105,Montana,Valley County,7548,7413,7409,7390,7359
107,Montana,Wheatland County,2123,2143,2163,2102,2157
109,Montana,Wibaux County,1043,1019,1029,954,939
111,Montana,Yellowstone County,158066,159425,160118,161349,162990
0,Nebraska,Nebraska,1906483,1916998,1925512,1932571,1937552
1,Nebraska,Adams County,31723,31837,31513,31309,31321
3,Nebraska,Antelope County,6347,6343,6305,6317,6264
5,Nebraska,Arthur County,467,456,463,468,466
7,Nebraska,Banner County,722,732,728,757,786
9,Nebraska,Blaine County,468,479,475,455,457
11,Nebraska,Boone County,5341,5317,5211,5176,5096
13,Nebraska,Box Butte County,11168,10842,10735,10786,10696
15,Nebraska,Boyd County,1980,1956,1946,1894,1860
17,Nebraska,Brown County,2981,3006,2963,2966,2981
19,Nebraska,Buffalo County,49171,49400,49461,49823,50114
21,Nebraska,Burt County,6526,6529,6482,6494,6477
23,Nebraska,Butler County,7985,8028,8022,7990,7960
25,Nebraska,Cass County,25629,25927,26137,26186,26232
27,Nebraska,Cedar County,8600,8523,8459,8420,8414
29,Nebraska,Chase County,3910,3922,3904,3901,3840
31,Nebraska,Cherry County,5847,5818,5801,5757,5781
33,Nebraska,Cheyenne County,10069,9654,9295,9011,9111
35,Nebraska,Clay County,6134,6190,6208,6219,6216
37,Nebraska,Colfax County,10726,10700,10714,10677,10587
39,Nebraska,Cuming County,8939,8940,8913,8818,8798
41,Nebraska,Custer County,10828,10873,10818,10796,10626
43,Nebraska,Dakota County,20295,20075,20081,20100,20070
45,Nebraska,Dawes County,8922,8897,8688,8557,8361
47,Nebraska,Dawson County,23742,23640,23726,23571,23510
49,Nebraska,Deuel County,1862,1858,1826,1816,1793
51,Nebraska,Dixon County,5742,5744,5692,5636,5596
53,Nebraska,Dodge County,36702,36778,36679,36444,36222
55,Nebraska,Douglas County,555880,561099,566523,570860,574332
57,Nebraska,Dundy County,1807,1786,1742,1686,1671
59,Nebraska,Fillmore County,5619,5559,5531,5484,5519
61,Nebraska,Franklin County,2996,2976,2991,2945,2940
63,Nebraska,Frontier County,2651,2623,2598,2631,2587
65,Nebraska,Furnas County,4751,4765,4694,4690,4653
67,Nebraska,Gage County,21622,21644,21499,21542,21431
69,Nebraska,Garden County,1904,1892,1891,1822,1847
71,Nebraska,Garfield County,1991,1985,1969,1970,1956
73,Nebraska,Gosper County,2026,2027,1987,1978,1986
75,Nebraska,Grant County,666,651,670,631,630
77,Nebraska,Greeley County,2400,2362,2357,2368,2319
79,Nebraska,Hall County,61404,61294,61510,61454,61028
81,Nebraska,Hamilton County,9167,9193,9213,9285,9237
83,Nebraska,Harlan County,3441,3415,3363,3372,3311
85,Nebraska,Hayes County,896,895,912,911,916
87,Nebraska,Hitchcock County,2820,2804,2786,2759,2773
89,Nebraska,Holt County,10229,10195,10152,10084,9956
91,Nebraska,Hooker County,684,666,670,668,647
93,Nebraska,Howard County,6394,6391,6446,6423,6488
95,Nebraska,Jefferson County,7167,7161,7062,7020,7099
97,Nebraska,Johnson County,5206,5170,5105,5050,5057
99,Nebraska,Kearney County,6568,6528,6587,6607,6652
101,Nebraska,Keith County,8121,8097,8020,8021,7983
103,Nebraska,Keya Paha County,790,790,794,784,759
105,Nebraska,Kimball County,3672,3567,3549,3597,3495
107,Nebraska,Knox County,8502,8447,8410,8337,8304
109,Nebraska,Lancaster County,310561,313892,316372,318403,320650
111,Nebraska,Lincoln County,35528,35299,35182,34856,34347
113,Nebraska,Logan County,797,768,751,750,747
115,Nebraska,Loup County,616,604,620,659,650
117,Nebraska,McPherson County,503,493,494,493,474
119,Nebraska,Madison County,34951,35128,35166,35059,34813
121,Nebraska,Merrick County,7852,7877,7774,7818,7809
123,Nebraska,Morrill County,4858,4794,4653,4624,4625
125,Nebraska,Nance County,3562,3558,3492,3482,3532
127,Nebraska,Nemaha County,6980,6962,6963,6943,7044
129,Nebraska,Nuckolls County,4273,4269,4190,4152,4134
131,Nebraska,Otoe County,15930,15946,15991,15993,15965
133,Nebraska,Pawnee County,2704,2624,2632,2639,2601
135,Nebraska,Perkins County,2898,2885,2911,2884,2867
137,Nebraska,Phelps County,9199,9052,9003,8991,9006
139,Nebraska,Pierce County,7134,7091,7117,7136,7184
141,Nebraska,Platte County,32986,33226,33259,33413,33364
143,Nebraska,Polk County,5182,5299,5200,5154,5201
145,Nebraska,Red Willow County,10782,10765,10732,10720,10627
147,Nebraska,Richardson County,8013,7980,7927,7854,7791
149,Nebraska,Rock County,1405,1419,1354,1370,1377
151,Nebraska,Saline County,14228,14368,14327,14194,13987
153,Nebraska,Sarpy County,178457,181468,184106,186893,188856
155,Nebraska,Saunders County,20977,21035,21280,21562,21927
157,Nebraska,Scotts Bluff County,36439,36175,35923,35582,35299
159,Nebraska,Seward County,17095,17204,17281,17318,17186
161,Nebraska,Sheridan County,5238,5281,5175,5229,5150
163,Nebraska,Sherman County,3006,3072,3029,2984,2986
165,Nebraska,Sioux County,1256,1194,1181,1158,1200
167,Nebraska,Stanton County,5972,5978,5969,5932,5880
169,Nebraska,Thayer County,5087,5035,5017,4976,4887
171,Nebraska,Thomas County,719,720,711,723,739
173,Nebraska,Thurston County,7141,7201,7296,7234,7220
