,County,2016,2017,2018,2019,2020,Latitude,Longitude,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020,2016 Crime per Capita (%),2017 Crime per Capita (%),2018 Crime per Capita (%),2019 Crime per Capita (%),2020 Crime per Capita (%)
25,Mono County,199.0,254.0,176.0,257.0,204.0,37.9158363,-118.8751668,14256.0,14333.0,14400.0,14450.0,14534.0,1.3959034792368126,1.7721342356798995,1.2222222222222223,1.778546712802768,1.4036053392046237
26,Monterey County,12260.0,11903.0,10835.0,9239.0,9271.0,36.240107,-121.3155723,433436.0,433803.0,433359.0,433380.0,430906.0,2.828560617945902,2.743872218495492,2.500236524452013,2.131847339517283,2.151513323091347
27,Napa County,3133.0,2828.0,2748.0,2965.0,2859.0,38.5070999,-122.3259045,140778.0,139818.0,138620.0,137678.0,135965.0,2.2254897782323946,2.022629418243717,1.982397922377723,2.15357573468528,2.1027470304857867
28,Nevada County,2031.0,2055.0,1543.0,1433.0,1263.0,39.2975082,-120.7713429,98939.0,99421.0,99472.0,99648.0,99606.0,2.05277999575496,2.0669677432333207,1.551190284703233,1.4380619781631343,1.2679959038612132
29,Orange County,73598.0,73593.0,69252.0,66246.0,68755.0,33.6756872,-117.7772068,3164277.0,3174159.0,3175579.0,3170851.0,3166857.0,2.3259025679483813,2.318503893472255,2.1807676647313765,2.089218320255351,2.1710800329790705
30,Placer County,7735.0,7725.0,7050.0,6776.0,6510.0,39.0620323,-120.7227181,379046.0,385348.0,392735.0,398918.0,402950.0,2.040649419859331,2.0046814827117307,1.7951035685640444,1.6985946986598748,1.6155850601811639
31,Plumas County,480.0,456.0,474.0,445.0,455.0,39.9922953,-120.8243709,18691.0,18680.0,18830.0,19052.0,18967.0,2.5680808945481783,2.441113490364026,2.5172596919808816,2.3357127860592066,2.3989033584647017
32,Riverside County,72989.0,69363.0,67910.0,65773.0,60335.0,33.7298275,-116.0022389,2378282.0,2413058.0,2443221.0,2465569.0,2489188.0,3.0689800452595613,2.874485403997749,2.7795275171587015,2.6676600817093337,2.423882808369637
33,Sacramento County,47120.0,44315.0,42608.0,43267.0,40542.0,38.4500161,-121.3404408,1511401.0,1527984.0,1539550.0,1551660.0,1559146.0,3.117637212096591,2.900226703944544,2.7675619499204314,2.788433033009809,2.600269634787249
34,San Benito County,704.0,745.0,818.0,624.0,759.0,36.6116507,-121.0858108,59270.0,60190.0,61415.0,62803.0,64055.0,1.1877847140205837,1.2377471340754278,1.3319221688512577,0.9935831090871455,1.18491921005386
35,San Bernardino County,65798.0,62634.0,63110.0,60051.0,52799.0,34.8572198,-116.1811967,2130726.0,2149847.0,2165627.0,2177279.0,2189183.0,3.088055432749213,2.913416629183379,2.9141675828755367,2.7580755612854393,2.411812991421914
36,San Diego County,72735.0,68432.0,68236.0,66922.0,61509.0,33.0236041,-116.7761174,3305462.0,3319019.0,3332483.0,3330459.0,3332427.0,2.200448832871169,2.0618140480666125,2.0476023433577906,2.0093926993246276,1.8457718653701942
37,San Francisco County,54962.0,61966.0,56934.0,56381.0,44706.0,37.7272391,-123.0322294,871343.0,877471.0,879676.0,878826.0,866606.0,6.30773415291108,7.061885805912674,6.472155657310191,6.415490665956629,5.158745727585547
38,San Joaquin County,28766.0,28012.0,28332.0,27564.0,23597.0,37.9349815,-121.272244,732662.0,743286.0,752590.0,761571.0,767967.0,3.9262306493307966,3.7686704713932455,3.764599582774153,3.619360506111709,3.0726580699431096
